用户名,评论内容,评论时间,点赞数,评论数,ip地址
沂da王,"“天间墨色微降雨，怜生楚客道晚宁”
“又复一年春归时，微雨携春待海棠”
“细雨轻拂海棠花，海棠相伴微雨生”
“墨色微雨赴海棠，晚来安宁伴微雨”
“与君共赴南屏山，此间唯余棠花雨”",2025年05月28日 18:01,0,0,湖南
黄昏风友爱环境音乐,试探感情的都是小丑,2025年05月28日 18:00,0,0,福建
周六一枝花,不要乱拼哦,2025年05月28日 17:56,0,0,广东
清源妙道真君AA,6,2025年05月28日 17:56,0,0,广东
菠萝冻宝宝,周围一圈全是双向暗恋，全谈上了,2025年05月28日 17:53,1,1,上海
Saitling,带郎千秋玩的是好人啊，都是曾经无比热烈的太子殿下。。。,2025年05月28日 17:48,0,0,湖南
次好好,"雨下整夜，我的爱溢出就像雨水。——《七里香》

翻着我们的照片，想念若隐若现。——《借口》

如果可以，我想和你回到那天相遇。——《如果可以》

你总爱编织谎言，我负责配合表演。——《妥协》",2025年05月28日 17:46,0,0,广东
次好好,"雨下整夜，我的爱溢出就像雨水。《七里香》

翻着我们的照片，想念若隐若现。 《借口》

如果可以，我想和你回到那天相遇。 《如果可以》

你总爱编织谎言，我负责配合表演。 《妥协》",2025年05月28日 17:46,0,0,广东
我的青春没有你YY,海棠花开时你在哪里,2025年05月28日 17:41,0,0,广东
Meow眠,谎言的另一个名称是誓言,2025年05月28日 17:38,0,0,湖南
Meow眠,可是只有我知道他说的每一句情话都是骗我的,2025年05月28日 17:37,0,0,湖南
五一不乐,快乐的秘诀就是停止胡思乱想,2025年05月28日 17:35,0,0,重庆
兦记思枫叶,？这首歌的主歌就像是薛之谦写的 后面的副歌就像是丢给南方凯写的 而且凌晨4点海棠花未眠 出自一位作家的作品之中 后面的凌晨5:00~7:00是真难绷 6点就日出了 7点太阳就升起来了 还在凌晨 改成清晨都比凌晨好多了,2025年05月28日 17:28,0,0,广东
記住楠舟,"迟迟不回的消息显得我自作多情.

想找你聊天可是我没有那个身份了

音乐是有记忆的它会记住你们的曾经

你敷衍的那么明显我怎么敢继续主动",2025年05月28日 17:24,0,0,贵州
記住楠舟,"纵使我千变万化 也走不进你的心里

经常偷看一个不属于自己的人挺没意思的.

回忆总是刺向心头 或许我们不该相遇

等一切都变好了 陪你的就不是我了.

如果没有常青树那就做自己的自由的花

模糊的记忆 零碎的我.",2025年05月28日 17:24,0,0,贵州
記住楠舟,"音乐是有记忆的它会记住你们的曾经

你敷衍的那么明显我怎么敢继续主动

你赢了你演技精湛我泪流满面

幸福的代价是要流无数次眼泪

你长了一张只会誓言的嘴却没本事做到

或许爱是一种病 越来越弱越爱越痛.",2025年05月28日 17:23,0,0,贵州
記住楠舟,"雪花就像幸福 我永远也抓不住.

可是这辈子都没有人哭着说想我.

后来我不再提及只有我记得过去.

没有实际行动的喜欢打动不了我.

忽然一愣我们分开有好一段时间了.

我想要你的心里只有我有那么难吗.",2025年05月28日 17:23,0,0,贵州
020509,老师睡觉吧,2025年05月28日 17:15,1,0,江西
有只狗的洛洛洛,不是谁家好人，凌晨7点起呀，凌晨7点你能看见早安，怪了事儿了。,2025年05月28日 17:15,0,0,甘肃
冬记lifalain_,生日快乐,2025年05月28日 17:12,0,0,江西
